sheet,etype,spec,designation,supplier,oem,qty,status,denominator,size,base_unit,services_unit,tax_pct,normalized,allin_reported,allin_calc,delta
Summary-Equipment Pricing (DA1),LV Switchboard - Mech,"4000A, 3W, 480V",Base OFCI,Parrish Hare,MCI,144,Executed,$/A,4000.0,327989.0,25200.0,0.06475,82.0,376057.98775000003,376057.99,-0.0
Summary-Equipment Pricing (DA1),LV Switchboard - Compute,"3200A, 4W, 415V",Base OFCI,Eaton,Eaton,576,Executed,$/A,3200.0,463099.67972222227,20061.0875,0.06475,144.72,514500.8826290278,514445.43,55.45
Summary-Equipment Pricing (DA1),LV Switchboard - Compute,"3200A, 4W, 415V",Base OFCI,Parrish Hare,MCI,576,Executed,$/A,3200.0,446433.0,25200.0,0.06475,139.51,502171.23675000004,502171.24,-0.0
Summary-Equipment Pricing (DA1),UPS - Mechanical,200kW VRLA 3min,Base OFCI,Eaton,Eaton,144,Executed,$/kW,200.0,117827.82,10500.0,0.06475,589.14,136706.49983961807,136637.05,69.45
Summary-Equipment Pricing (DA1),Fan Walls - Compute,"700kW; 98,000cfm",Base OFCI,Modine,Modine,432,Executed,$/kW,700.0,107147.99500000001,4400.0,0.06475,153.07,121679.58524106482,118770.73,2908.86
Summary-Equipment Pricing (DA1),Elec Room CRAHs,112 kW; 22.4k CFM,Base OFCI,Vertiv,Vertiv,96,Executed,$/kW,112.0,79285.52,6757.822916666667,0.06475,707.91,94590.59012885416,91614.65,2975.94
Summary-Equipment Pricing (DA1),5min EOL UPS,200kW 93PM,MNR,Eaton,Eaton,4,Quote Received,$/kW,200.0,117827.81000000001,10500.0,0.06475,589.14,136637.03569750002,136637.04,-0.0
Summary-Equipment Pricing (DA1),MNR Busway,50ft 400amp,MNR,Budgetary Hold,Budgetary Hold,48,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Equipment Pricing (DA1),SNR Busway,40ft 400amp,MNR,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Equipment Pricing (DA1),MNR HAC,50ft Brooklyn Lite,MNR,Budgetary Hold,Budgetary Hold,12,ROM Pricing,$/unit,1.0,500000.0,0.0,0.06475,500000.0,532375.0,532375.0,0.0
Summary-Equipment Pricing (DA1),MNR Dx CRAC,"230 kW, 50k CFM",MNR,Vertiv,Vertiv,8,Executed,$/kW,230.0,401480.95,27746.67,0.06475,1745.57,479218.524813125,457020.11,22198.41
Summary-Equipment Pricing (DA1),PDUs,75kVA,MNR,Raptor Power,Voltz,12,Executed,$/kVA,75.0,50186.0,1425.0,0.06475,669.15,56017.562249999995,54952.81,1064.75
Summary-Equipment Pricing (DA1),CMDA Generators,3 MW; 78 L​,CMDA,Cummins,Cummins,2,Executed,$/MW,3.0,1968600.0,0.0,0.06475,656200.0,2211059.85,2096066.85,114993.0
Summary-Equipment Pricing (DA1),MNR Generators,3 MW; 78 L​,CMDA,Cummins,Cummins,4,Executed,$/MW,3.0,1968600.0,0.0,0.06475,656200.0,2211059.85,2096066.85,114993.0
Summary-Equipment Pricing (DA1),CMDA House Generators,500kW,CMDA,Cummins,Cummins,2,Awarded,$/kW,500.0,167000.0,0.0,0.06475,334.0,177813.25,177813.25,0.0
Summary-Equipment Pricing (DA1),CMDA House Pump Generators,500kW,CMDA,Cummins,Cummins,2,Awarded,$/kW,500.0,167000.0,0.0,0.06475,334.0,177813.25,177813.25,0.0
Summary-Equipment Pricing (DA1),MNR UPS,2000kW VRLA 8min,CMDA,Eaton,Eaton,4,Executed,$/kW,2000.0,885595.42,17500.0,0.06475,442.8,968310.7425637501,961570.85,6739.89
Summary-Equipment Pricing (DA1),CMDA UPS,2000kW VRLA 8min,CMDA,Eaton,Eaton,2,Awarded,$/kW,2000.0,1661318.2000000002,35000.0,0.06475,830.66,1806154.8034500002,1806154.8,0.0
Summary-Equipment Pricing (DA1),CMDA Transformer,600A; 3200kVA,CMDA,Parrish Hare,GE Prolec,2,Executed,$/kVA,3200.0,171785.0,19600.0,0.06475,53.68,203777.17875,203777.18,-0.0
Summary-Equipment Pricing (DA1),CMDA House Transformer,500kVA,CMDA,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/kVA,500.0,85000.0,0.0,0.06475,170.0,90503.75,90503.75,0.0
Summary-Equipment Pricing (DA1),MNR Transformer,600A; 3200kVA,CMDA,Parrish Hare,GE Prolec,4,Executed,$/kVA,3200.0,171785.0,19600.0,0.06475,53.68,205773.585,203777.18,1996.4
Summary-Equipment Pricing (DA1),CMDA RMU,600A RMU - CMDA,CMDA,Parrish Hare,Powell,8,Awarded,$/A,600.0,268898.0,16100.0,0.06475,448.16,303451.6205,303451.62,0.0
Summary-Equipment Pricing (DA1),CMDA LV Switchgear,"3200A, 480V",CMDA,Parrish Hare,MCI,2,Awarded,$/A,3200.0,438052.0,25200.0,0.06475,136.89,493247.567,493247.57,-0.0
Summary-Equipment Pricing (DA1),CMDA House LV Switchgear,"House power, 800A, 480V",CMDA,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/A,800.0,220000.0,0.0,0.06475,275.0,234245.0,234245.0,0.0
Summary-Equipment Pricing (DA1),MNR LV Switchgear,"3200A, 480V",CMDA,Parrish Hare,MCI,4,Executed,$/A,3200.0,438052.0,25200.0,0.06475,136.89,493247.567,493247.57,-0.0
Summary-Equipment Pricing (DA1),CMDA Air-Cooled Chiller,850-ton; mag-bearing,CMDA,Trane,Trane,6,Awarded,$/ton,850.0,1452500.0,9600.0,0.06475,1708.82,1556770.9749999999,1556770.98,-0.01
Summary-Equipment Pricing (DA1),CMDA PDUs,500kVA,CMDA,Raptor Power,Voltz,48,Awarded,$/kVA,500.0,104000.0,1425.0,0.06475,208.0,113316.01875,112251.27,1064.75
Summary-Equipment Pricing (DA1),CMDA Compute CRAHs,211kW; 45k CFM,CMDA,Budgetary Hold,Budgetary Hold,48,ROM Pricing,$/kW,211.0,185000.0,0.0,0.06475,876.78,196978.75,196978.75,0.0
Summary-Equipment Pricing (DA1),CMDA Elec Room CRAHs,131kW; 22.4k CFM,CMDA,Budgetary Hold,Budgetary Hold,12,ROM Pricing,$/kW,131.0,100000.0,6758.0,0.06475,763.36,115726.61275000001,113670.58,2056.03
Summary-Equipment Pricing (DA1),CMDA Pump Skid,"8"" piping, 3000 gal TES tank",CMDA,Trane,Trane,6,Executed,$/unit,1.0,264520.0,0.0,0.06475,264520.0,281647.67,281647.67,0.0
Summary-Equipment Pricing (DA1),SDCs,TBD,CMDA,Parrish Hare,JST,2,Awarded,$/unit,1.0,293779.0,7000.0,0.06475,293779.0,355522.686875,320254.44,35268.25
Summary-Equipment Pricing (DA1),CMDA Busway,72ft 400amp,CMDA,Budgetary Hold,Budgetary Hold,112,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Equipment Pricing (DA1),CMDA HAC,72ft Brooklyn Lite,CMDA,Budgetary Hold,Budgetary Hold,28,ROM Pricing,$/unit,1.0,500000.0,0.0,0.06475,500000.0,532375.0,532375.0,0.0
Summary-Equipment Pricing (DA1),Power Transformers,"360MVA, 345-34.5-34.5kV",Substation,BEST,BEST,5,Executed,$/MVA,360.0,10547520.0,0.0,0.06475,29298.67,11230471.92,11230471.92,0.0
Summary-Equipment Pricing (DA1),38kV Distribution Switchgear (W1-4/E1-4),"34.5kV, 3-Phase, 3-Wire",Substation,Eaton,Eaton,4,Executed,$/unit,1.0,5236500.5,171408.63,0.06475,5236500.5,5758736.7149175,5758071.25,665.46
Summary-Equipment Pricing (DA1),38kV Distribution Switchgear (W5/E5),"34.5kV, 3-Phase, 3-Wire",Substation,Eaton,Eaton,1,Executed,$/unit,1.0,6795290.1899999995,212937.6,0.06475,6795290.19,7464672.414402499,7462010.54,2661.87
Summary-Equipment Pricing (DA1),CVTs,345kV,Substation,Parrish Hare,Trench,12,Executed,$/unit,1.0,28833.333333333332,0.0,0.06475,28833.33,30700.291666666668,30700.29,0.0
Summary-Equipment Pricing (DA1),Disconnect Switches,345kV,Substation,Electrorep,MindCore,9,Executed,$/unit,1.0,36815.0,0.0,0.06475,36815.0,40529.70875,39198.77,1330.94
Summary-Equipment Pricing (DA1),GE Circuit Breakers,345kV,Substation,Ameren,Ameren,5,Executed,$/unit,1.0,541800.0,0.0,0.06475,541800.0,583260.46725,576881.55,6378.92
Summary-Equipment Pricing (DA1),Capacitor Banks,34.5kV,Substation,Eaton,Eaton,20,Executed,$/unit,1.0,270588.24,1524.424,0.06475,270588.24,290133.795644,289731.96,401.84
Summary-Equipment Pricing (DA1),Control House,Substation Control House,Substation,Crown Technical,Crown Technical,1,Awarded,$/unit,1.0,2085015.33,0.0,0.06475,2085015.33,2265804.3226175,2220020.07,45784.25
Summary-Equipment Pricing (DA1),Surge Arrestors (High Side),345kV,Substation,Fletcher-Reinhardt,Hubbell,32,Awarded,$/unit,1.0,6550.0,0.0,0.06475,6550.0,7412.91727,6974.11,438.81
Summary-Equipment Pricing (DA1),Surge Arrestors (Low Side),345kV,Substation,Fletcher-Reinhardt,Hubbell,32,Awarded,$/unit,1.0,956.0,0.0,0.06475,956.0,1218.4573099999998,1017.9,200.56
Summary-Equipment Pricing (DA1),Switchgear Enclosures,TBD,Substation,Fibrebond,Fibrebond,4,Awarded,$/unit,1.0,1089350.0,0.0,0.06475,1089350.0,1347643.4275,1159885.41,187758.02
Summary-Equipment Pricing (DA1),Combined Transformers,TBD,Substation,Gateway Power Sales,Koncar,3,Executed,$/unit,1.0,124300.0,0.0,0.06475,124300.0,154850.14166666666,132348.43,22501.71
Summary-Equipment Pricing (DA1),Neutral Grounding Equipment,34.5kV,Substation,Hilkar,Hilkar,10,Quote Received,$/unit,1.0,109211.0,0.0,0.06475,109211.0,130618.45540149999,116282.41,14336.05
Summary-Equipment Pricing (DA1),Current Limiting Reactors,34.5kV,Substation,Parrish Hare,Trench,20,Quote Received,$/unit,1.0,131236.0,0.0,0.06475,131236.0,139733.53100000002,139733.53,0.0
Summary-Equipment Pricing (DA1),Structural Steel,Substation Structural Steel,Substation,Parrish Hare,Dis-Tran,5,Executed,$/unit,1.0,947204.8,0.0,0.06475,947204.8,1033642.0510500001,1008536.31,25105.74
Summary-Equipment Pricing (DA1),Station Service Transformers,TBD,Substation,Eaton,Eaton,5,Awarded,$/unit,1.0,79074.48,2100.0,0.06475,79074.48,88370.44884249999,86430.53,1939.92
Summary-Equipment Pricing (DA1),Cable Bus (Transformer),34.5kV Bus Duct,Substation,TBD,TBD,10,Procurement,$/unit,1.0,0.0,0.0,0.06475,0.0,0.0,0.0,0.0
Summary-Equipment Pricing (DA1),Cable Bus (Feeder),34.5kV Bus Duct,Substation,TBD,TBD,10,Procurement,$/unit,1.0,0.0,0.0,0.06475,0.0,0.0,0.0,0.0
Summary-Equipment Pricing (DA1),35kV Cable,35kV,Substation,TBD,TBD,1,Procurement,$/unit,1.0,0.0,0.0,0.06475,0.0,0.0,0.0,0.0
Summary-Equipment Pricing (DA2),Busway - Compute,96ft 3000amp,DA2 - New OFCI,Budgetary Hold,Budgetary Hold,624,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Equipment Pricing (DA2),CDU,2 MW Deschutes,DA2 - New OFCI,Texas Air,Boyd,624,ROM Pricing,$/MW,2.0,207445.0,7400.0,0.06475,103722.5,250051.21375,228756.21,21295.0
Summary-Equipment Pricing (DA2),HAC,96ft Brooklyn Lite,DA2 - New OFCI,Budgetary Hold,Budgetary Hold,156,ROM Pricing,$/unit,1.0,2000000.0,0.0,0.06475,2000000.0,2129500.0,2129500.0,0.0
Summary-Equipment Pricing (DA2),Spare HAC,96ft Brooklyn Lite,DA2 - New OFCI,Budgetary Hold,Budgetary Hold,8,ROM Pricing,$/unit,1.0,500000.0,0.0,0.06475,500000.0,532375.0,532375.0,0.0
Summary-Pricing MNR+CMDA,UPS,7030338.1800000006,513311.24000000005,,,33236.902790000007,455214.39715500001,$/unit,1.0,10.0,0.0,8032100.719945001,10.0,,80321017.2,
Summary-Pricing MNR+CMDA,Generators,13127600,0,,,0,850012.10000000009,$/unit,1.0,10.0,0.0,13977612.100000001,10.0,,139776131.0,
Summary-Pricing MNR+CMDA,Transformer,1325810,0,,,0,85846.197500000009,$/unit,1.0,8.0,0.0,1411656.1974999998,8.0,,11293257.58,
Summary-Pricing MNR+CMDA,RMU,2279984,0,,,0,147628.96400000001,$/unit,1.0,8.0,0.0,2427612.964,8.0,,19420911.71,
Summary-Pricing MNR+CMDA,LV Switchgear,3219512,0,,,0,208463.402,$/unit,1.0,8.0,0.0,3427975.402,8.0,,27423811.22,
Summary-Pricing MNR+CMDA,Air-Cooled Chiller,8772600,0,,,0,568025.85,$/unit,1.0,6.0,0.0,9340625.85,6.0,,56043761.1,
Summary-Pricing MNR+CMDA,CRACs,0,3600608.7800000003,,,233139.41850500004,0,$/unit,1.0,8.0,0.0,3833748.198505,8.0,,30669993.59,
Summary-Pricing MNR+CMDA,CRAHs,10184268,0,,,0,659431.353,$/unit,1.0,60.0,0.0,10843699.353,60.0,,650622021.18,
Summary-Pricing MNR+CMDA,Pump Skid,1587120,0,,,0,102766.02,$/unit,1.0,6.0,0.0,1689886.02,6.0,,10139322.12,
Summary-Pricing MNR+CMDA,PDUs,5108400,315666,,,20439.373500000002,330768.90000000002,$/unit,1.0,54.0,0.0,5775274.2735,54.0,,311864864.77,
Summary-Pricing MNR+CMDA,Busway,13440000,6000000,,,388500,870240,$/unit,1.0,162.0,0.0,20698740.0,162.0,,3353196042.0,
Summary-Pricing MNR+CMDA,HAC,14000000,6000000,,,388500,906500,$/unit,1.0,40.0,0.0,21295000.0,40.0,,851800040.0,
Summary-Pricing MNR+CMDA,SDCs,2250000,0,,,0,145687.5,$/unit,1.0,1.0,0.0,2395687.5,1.0,,2395688.5,
Summary-Pricing MNR+CMDA,5min EOL UPS,200kW 93PM,MNR,Eaton,Eaton,4,Quote Received,$/kW,200.0,117827.81000000001,10500.0,0.06475,589.14,136637.03569750002,136637.04,-0.0
Summary-Pricing MNR+CMDA,MNR Busway,50ft 400amp,MNR,Budgetary Hold,Budgetary Hold,48,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Pricing MNR+CMDA,SNR Busway,40ft 400amp,MNR,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Pricing MNR+CMDA,MNR HAC,50ft Brooklyn Lite,MNR,Budgetary Hold,Budgetary Hold,12,ROM Pricing,$/unit,1.0,500000.0,0.0,0.06475,500000.0,532375.0,532375.0,0.0
Summary-Pricing MNR+CMDA,MNR Dx CRAC,"230 kW, 50k CFM",MNR,Vertiv,Vertiv,8,Executed,$/kW,230.0,401480.95,27746.67,0.06475,1745.57,479218.524813125,457020.11,22198.41
Summary-Pricing MNR+CMDA,PDUs,75kVA,MNR,Raptor Power,Voltz,12,Awarded,$/kVA,75.0,50186.0,1425.0,0.06475,669.15,56017.562249999995,54952.81,1064.75
Summary-Pricing MNR+CMDA,CMDA Generators,3 MW; 78 L​,CMDA,Cummins,Cummins,2,Executed,$/MW,3.0,1968600.0,0.0,0.06475,656200.0,2211059.85,2096066.85,114993.0
Summary-Pricing MNR+CMDA,MNR Generators,3 MW; 78 L​,CMDA,Cummins,Cummins,4,Executed,$/MW,3.0,1968600.0,0.0,0.06475,656200.0,2211059.85,2096066.85,114993.0
Summary-Pricing MNR+CMDA,CMDA House Generators,500kW,CMDA,Cummins,Cummins,2,Awarded,$/kW,500.0,167000.0,0.0,0.06475,334.0,177813.25,177813.25,0.0
Summary-Pricing MNR+CMDA,CMDA House Pump Generators,500kW,CMDA,Cummins,Cummins,2,Awarded,$/kW,500.0,167000.0,0.0,0.06475,334.0,177813.25,177813.25,0.0
Summary-Pricing MNR+CMDA,MNR UPS,2000kW VRLA 8min,CMDA,Eaton,Eaton,4,Executed,$/kW,2000.0,885595.42,17500.0,0.06475,442.8,968310.7425637501,961570.85,6739.89
Summary-Pricing MNR+CMDA,CMDA UPS,2000kW VRLA 8min,CMDA,Eaton,Eaton,2,Awarded,$/kW,2000.0,1661318.2000000002,35000.0,0.06475,830.66,1806154.8034500002,1806154.8,0.0
Summary-Pricing MNR+CMDA,CMDA Transformer,600A; 3200kVA,CMDA,Parrish Hare,GE Prolec,2,Executed,$/kVA,3200.0,171785.0,19600.0,0.06475,53.68,203777.17875,203777.18,-0.0
Summary-Pricing MNR+CMDA,CMDA House Transformer,500kVA,CMDA,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/kVA,500.0,85000.0,0.0,0.06475,170.0,90503.75,90503.75,0.0
Summary-Pricing MNR+CMDA,MNR Transformer,600A; 3200kVA,CMDA,Parrish Hare,GE Prolec,4,Executed,$/kVA,3200.0,171785.0,19600.0,0.06475,53.68,205773.585,203777.18,1996.4
Summary-Pricing MNR+CMDA,CMDA RMU,600A RMU - CMDA,CMDA,Parrish Hare,Powell,8,Awarded,$/A,600.0,268898.0,16100.0,0.06475,448.16,303451.6205,303451.62,0.0
Summary-Pricing MNR+CMDA,CMDA LV Switchgear,"3200A, 480V",CMDA,Parrish Hare,MCI,2,Awarded,$/A,3200.0,438052.0,25200.0,0.06475,136.89,493247.567,493247.57,-0.0
Summary-Pricing MNR+CMDA,CMDA House LV Switchgear,"House power, 800A, 480V",CMDA,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/A,800.0,220000.0,0.0,0.06475,275.0,234245.0,234245.0,0.0
Summary-Pricing MNR+CMDA,MNR LV Switchgear,"3200A, 480V",CMDA,Parrish Hare,MCI,4,Executed,$/A,3200.0,438052.0,25200.0,0.06475,136.89,493247.567,493247.57,-0.0
Summary-Pricing MNR+CMDA,CMDA Air-Cooled Chiller,850-ton; mag-bearing,CMDA,Trane,Trane,6,Awarded,$/ton,850.0,1452500.0,9600.0,0.06475,1708.82,1556770.9749999999,1556770.98,-0.01
Summary-Pricing MNR+CMDA,CMDA PDUs,500kVA,CMDA,Raptor Power,Voltz,48,Awarded,$/kVA,500.0,104000.0,1425.0,0.06475,208.0,113316.01875,112251.27,1064.75
Summary-Pricing MNR+CMDA,CMDA Compute CRAHs,211kW; 45k CFM,CMDA,Budgetary Hold,Budgetary Hold,48,ROM Pricing,$/kW,211.0,185000.0,0.0,0.06475,876.78,196978.75,196978.75,0.0
Summary-Pricing MNR+CMDA,CMDA Elec Room CRAHs,131kW; 22.4k CFM,CMDA,Budgetary Hold,Budgetary Hold,12,ROM Pricing,$/kW,131.0,100000.0,6758.0,0.06475,763.36,115726.61275000001,113670.58,2056.03
Summary-Pricing MNR+CMDA,CMDA Pump Skid,"8"" piping, 3000 gal TES tank",CMDA,Trane,Trane,6,Executed,$/unit,1.0,264520.0,0.0,0.06475,264520.0,281647.67,281647.67,0.0
Summary-Pricing MNR+CMDA,SDCs,TBD,CMDA,Budgetary Hold,Budgetary Hold,2,ROM Pricing,$/unit,1.0,2250000.0,0.0,0.06475,2250000.0,2395687.5,2395687.5,0.0
Summary-Pricing MNR+CMDA,CMDA Busway,72ft 400amp,CMDA,Budgetary Hold,Budgetary Hold,112,ROM Pricing,$/unit,1.0,120000.0,0.0,0.06475,120000.0,127770.0,127770.0,0.0
Summary-Pricing MNR+CMDA,CMDA HAC,72ft Brooklyn Lite,CMDA,Budgetary Hold,Budgetary Hold,28,ROM Pricing,$/unit,1.0,500000.0,0.0,0.06475,500000.0,532375.0,532375.0,0.0
